"Dataset","Number of the triple","Time"
"result","832","1.8108763694763184"
"result","833","1.8109314441680908"
"result","834","1.8109476566314697"
"result","835","1.810953140258789"
"result","836","1.8109893798828125"
"result","837","1.8110029697418213"
"result","838","1.8110086917877197"
"result","839","1.811042308807373"
"result","840","1.8110556602478027"
"result","841","1.811060905456543"
"result","842","1.8110928535461426"
"result","843","1.8111038208007812"
"result","844","1.8111157417297363"
"result","845","1.8111207485198975"
"result","846","1.8111546039581299"
"result","847","1.8111672401428223"
"result","848","1.8111727237701416"
"result","849","1.8112051486968994"
"result","850","1.8112175464630127"
"result","851","1.811222791671753"
"result","852","1.811255693435669"
"result","853","1.8112683296203613"
"result","854","1.8112735748291016"
"result","855","1.8113071918487549"
"result","856","1.8113195896148682"
"result","857","1.8113250732421875"
"result","858","1.8113563060760498"
"result","859","1.8113670349121094"
"result","860","1.8113791942596436"
"result","861","1.8113844394683838"
"result","862","1.811418056488037"
"result","863","1.8114306926727295"
"result","864","1.8114361763000488"
"result","865","1.811469316482544"
"result","866","1.8114821910858154"
"result","867","1.8114874362945557"
"result","868","1.8115198612213135"
"result","869","1.8115315437316895"
"result","870","1.8115367889404297"
"result","871","1.8115687370300293"
"result","872","1.8115818500518799"
"result","873","1.8115870952606201"
"result","874","1.811619758605957"
"result","875","1.811631679534912"
"result","876","1.8116369247436523"
"result","877","1.8116686344146729"
"result","878","1.8116810321807861"
"result","879","1.8116865158081055"
"result","880","1.8117191791534424"
"result","881","1.8117318153381348"
"result","882","1.811737298965454"
"result","883","1.8117692470550537"
"result","884","1.8118155002593994"
"result","885","1.8118281364440918"
"result","886","1.8118681907653809"
"result","887","1.8118817806243896"
"result","888","1.811887264251709"
"result","889","1.8119211196899414"
"result","890","1.811934471130371"
"result","891","1.8119401931762695"
"result","892","1.8119783401489258"
"result","893","1.8120014667510986"
"result","894","1.8120129108428955"
"result","895","1.8120975494384766"
"result","896","1.8121120929718018"
"result","897","1.8121178150177002"
"result","898","1.8121528625488281"
"result","899","1.8121654987335205"
"result","900","1.8121709823608398"
"result","901","1.8122053146362305"
"result","902","1.8122186660766602"
"result","903","1.8122243881225586"
"result","904","1.812258243560791"
"result","905","1.8122704029083252"
"result","906","1.8122758865356445"
"result","907","1.8123090267181396"
"result","908","1.812321424484253"
"result","909","1.8123269081115723"
"result","910","1.8123669624328613"
"result","911","1.8123905658721924"
"result","912","1.8123981952667236"
"result","913","1.812436580657959"
"result","914","1.8124492168426514"
"result","915","1.8124547004699707"
"result","916","1.8124878406524658"
"result","917","1.8124995231628418"
"result","918","1.812504768371582"
"result","919","1.812537431716919"
"result","920","1.8125503063201904"
"result","921","1.8125557899475098"
"result","922","1.8125884532928467"
"result","923","1.81260085105896"
"result","924","1.8126060962677002"
"result","925","1.8126392364501953"
"result","926","1.8126511573791504"
"result","927","1.8126564025878906"
"result","928","1.8126893043518066"
"result","929","1.8127021789550781"
"result","930","1.8127074241638184"
"result","931","1.8127527236938477"
"result","932","1.8127710819244385"
"result","933","1.8127789497375488"
"result","934","1.8128297328948975"
"result","935","1.8128440380096436"
"result","936","1.812849760055542"
"result","937","1.8128852844238281"
"result","938","1.812898874282837"
"result","939","1.8129043579101562"
"result","940","1.812938928604126"
"result","941","1.8129520416259766"
"result","942","1.812957763671875"
"result","943","1.8129923343658447"
"result","944","1.813004970550537"
"result","945","1.8130102157592773"
"result","946","1.8131115436553955"
"result","947","1.81312894821167"
"result","948","1.8131351470947266"
"result","949","1.81317138671875"
"result","950","1.8131840229034424"
"result","951","1.8131895065307617"
"result","952","1.8132226467132568"
"result","953","1.813234806060791"
"result","954","1.8132405281066895"
"result","955","1.8132760524749756"
"result","956","1.8132879734039307"
"result","957","1.8132941722869873"
"result","958","1.8133485317230225"
"result","959","1.8133635520935059"
"result","960","1.8133690357208252"
"result","961","1.813403844833374"
"result","962","1.8134160041809082"
"result","963","1.8134214878082275"
"result","964","1.8134539127349854"
"result","965","1.8134667873382568"
"result","966","1.813471794128418"
"result","967","1.8135044574737549"
"result","968","1.8135168552398682"
"result","969","1.8135223388671875"
"result","970","1.8135554790496826"
"result","971","1.8135685920715332"
"result","972","1.8135740756988525"
"result","973","1.8136065006256104"
"result","974","1.8136188983917236"
"result","975","1.8136241436004639"
"result","976","1.8136577606201172"
"result","977","1.813673496246338"
"result","978","1.8136789798736572"
"result","979","1.8137133121490479"
"result","980","1.813725471496582"
"result","981","1.813730239868164"
"result","982","1.81376314163208"
"result","983","1.8137757778167725"
"result","984","1.81378173828125"
"result","985","1.813814640045166"
"result","986","1.8138294219970703"
"result","987","1.8138349056243896"
"result","988","1.8138680458068848"
"result","989","1.813880443572998"
"result","990","1.8138856887817383"
"result","991","1.813917875289917"
"result","992","1.8139300346374512"
"result","993","1.8139352798461914"
"result","994","1.8139667510986328"
"result","995","1.8139774799346924"
"result","996","1.8139901161193848"
"result","997","1.813995122909546"
"result","998","1.8140292167663574"
"result","999","1.8140418529510498"
"result","1000","1.814046859741211"
"result","1001","1.8140795230865479"
"result","1002","1.8140907287597656"
"result","1003","1.81410551071167"
"result","1004","1.8141112327575684"
"result","1005","1.8141460418701172"
"result","1006","1.8141582012176514"
"result","1007","1.8141634464263916"
"result","1008","1.8141958713531494"
"result","1009","1.8142430782318115"
"result","1010","1.81425142288208"
"result","1011","1.8142905235290527"
"result","1012","1.8143033981323242"
"result","1013","1.8143086433410645"
"result","1014","1.8143417835235596"
"result","1015","1.8143539428710938"
"result","1016","1.814359426498413"
"result","1017","1.81439208984375"
"result","1018","1.814408540725708"
"result","1019","1.8144195079803467"
"result","1020","1.814467430114746"
"result","1021","1.8144819736480713"
"result","1022","1.8144876956939697"
"result","1023","1.8145196437835693"
"result","1024","1.814530372619629"
"result","1025","1.8145430088043213"
"result","1026","1.8145482540130615"
"result","1027","1.8145811557769775"
"result","1028","1.814591646194458"
"result","1029","1.8146030902862549"
"result","1030","1.814608097076416"
"result","1031","1.8146395683288574"
"result","1032","1.8146510124206543"
"result","1033","1.8146626949310303"
"result","1034","1.8146679401397705"
"result","1035","1.814699649810791"
"result","1036","1.814711093902588"
"result","1037","1.814723014831543"
"result","1038","1.814728021621704"
"result","1039","1.8147594928741455"
"result","1040","1.814770221710205"
"result","1041","1.8147852420806885"
"result","1042","1.8147907257080078"
"result","1043","1.8148226737976074"
"result","1044","1.8148348331451416"
"result","1045","1.8148472309112549"
"result","1046","1.8148524761199951"
"result","1047","1.8148863315582275"
"result","1048","1.814899206161499"
"result","1049","1.8149046897888184"
"result","1050","1.8149385452270508"
"result","1051","1.8149514198303223"
"result","1052","1.8149569034576416"
"result","1053","1.8149938583374023"
"result","1054","1.8150060176849365"
"result","1055","1.8150181770324707"
"result","1056","1.8150238990783691"
"result","1057","1.8150584697723389"
"result","1058","1.815070390701294"
"result","1059","1.8150756359100342"
"result","1060","1.815138578414917"
"result","1061","1.8151519298553467"
"result","1062","1.815157175064087"
"result","1063","1.8151910305023193"
"result","1064","1.8152031898498535"
"result","1065","1.815208911895752"
"result","1066","1.815241813659668"
"result","1067","1.815253496170044"
"result","1068","1.8152587413787842"
"result","1069","1.8152925968170166"
"result","1070","1.8153455257415771"
"result","1071","1.8153541088104248"
"result","1072","1.8153951168060303"
"result","1073","1.8154079914093018"
"result","1074","1.815413236618042"
"result","1075","1.8154475688934326"
"result","1076","1.815460443496704"
"result","1077","1.8154659271240234"
"result","1078","1.815502405166626"
"result","1079","1.8155152797698975"
"result","1080","1.815523624420166"
"result","1081","1.8155746459960938"
"result","1082","1.8155889511108398"
"result","1083","1.8155953884124756"
"result","1084","1.8156445026397705"
"result","1085","1.8156588077545166"
"result","1086","1.8156683444976807"
"result","1087","1.8157036304473877"
"result","1088","1.81571626663208"
"result","1089","1.8157219886779785"
"result","1090","1.8157556056976318"
"result","1091","1.815767765045166"
"result","1092","1.8157734870910645"
"result","1093","1.8158276081085205"
"result","1094","1.815847635269165"
"result","1095","1.8158533573150635"
"result","1096","1.8158917427062988"
"result","1097","1.8159055709838867"
"result","1098","1.8159115314483643"
"result","1099","1.8159472942352295"
"result","1100","1.8159611225128174"
"result","1101","1.8159663677215576"
"result","1102","1.8160004615783691"
"result","1103","1.8160145282745361"
"result","1104","1.8160200119018555"
"result","1105","1.8160533905029297"
"result","1106","1.8160665035247803"
"result","1107","1.8160717487335205"
"result","1108","1.8161046504974365"
