"Dataset","Number of the triple","Time"
"result","746","1.5764799118041992"
"result","747","1.576512336730957"
"result","748","1.5765197277069092"
"result","749","1.5765395164489746"
"result","750","1.5765678882598877"
"result","751","1.5765750408172607"
"result","752","1.5765926837921143"
"result","753","1.5766193866729736"
"result","754","1.5766265392303467"
"result","755","1.5766444206237793"
"result","756","1.576671838760376"
"result","757","1.5766799449920654"
"result","758","1.5766983032226562"
"result","759","1.5767290592193604"
"result","760","1.5767371654510498"
"result","761","1.5767536163330078"
"result","762","1.5767803192138672"
"result","763","1.5767884254455566"
"result","764","1.576808214187622"
"result","765","1.576840877532959"
"result","766","1.576850175857544"
"result","767","1.5768709182739258"
"result","768","1.5769050121307373"
"result","769","1.576913595199585"
"result","770","1.576932430267334"
"result","771","1.576965093612671"
"result","772","1.5769734382629395"
"result","773","1.5769927501678467"
"result","774","1.577026128768921"
"result","775","1.5770354270935059"
"result","776","1.5770573616027832"
"result","777","1.5770854949951172"
"result","778","1.5770909786224365"
"result","779","1.5771026611328125"
"result","780","1.5771214962005615"
"result","781","1.5771262645721436"
"result","782","1.5771372318267822"
"result","783","1.5771543979644775"
"result","784","1.5771589279174805"
"result","785","1.5771691799163818"
"result","786","1.5771856307983398"
"result","787","1.5771903991699219"
"result","788","1.5772016048431396"
"result","789","1.5772182941436768"
"result","790","1.5772225856781006"
"result","791","1.577232837677002"
"result","792","1.57724928855896"
"result","793","1.577253818511963"
"result","794","1.5772645473480225"
"result","795","1.5772812366485596"
"result","796","1.5772855281829834"
"result","797","1.577296257019043"
"result","798","1.577312707901001"
"result","799","1.577317714691162"
"result","800","1.5773284435272217"
"result","801","1.5773706436157227"
"result","802","1.577380657196045"
"result","803","1.5774023532867432"
"result","804","1.5774364471435547"
"result","805","1.5774452686309814"
"result","806","1.5774660110473633"
"result","807","1.5774996280670166"
"result","808","1.577507734298706"
"result","809","1.5775210857391357"
"result","810","1.5775532722473145"
"result","811","1.577561378479004"
"result","812","1.5775823593139648"
"result","813","1.57761549949646"
"result","814","1.5776240825653076"
"result","815","1.5776395797729492"
"result","816","1.5776677131652832"
"result","817","1.5776758193969727"
"result","818","1.5777010917663574"
"result","819","1.5777332782745361"
"result","820","1.5777416229248047"
"result","821","1.577761173248291"
"result","822","1.5777943134307861"
"result","823","1.5778028964996338"
"result","824","1.5778236389160156"
"result","825","1.577857255935669"
"result","826","1.5778656005859375"
"result","827","1.577880859375"
"result","828","1.577901840209961"
"result","829","1.577906847000122"
"result","830","1.5779180526733398"
"result","831","1.5779359340667725"
"result","832","1.5779404640197754"
"result","833","1.577951431274414"
"result","834","1.5779688358306885"
"result","835","1.5779733657836914"
"result","836","1.5779838562011719"
"result","837","1.5780017375946045"
"result","838","1.5780065059661865"
"result","839","1.5780210494995117"
"result","840","1.578037977218628"
"result","841","1.5780425071716309"
"result","842","1.5780525207519531"
"result","843","1.578068733215332"
"result","844","1.578073263168335"
"result","845","1.5780832767486572"
"result","846","1.578099250793457"
"result","847","1.5781042575836182"
"result","848","1.5781149864196777"
"result","849","1.5781314373016357"
"result","850","1.5781362056732178"
"result","851","1.5781464576721191"
"result","852","1.5781631469726562"
"result","853","1.5781676769256592"
"result","854","1.5781779289245605"
"result","855","1.5781939029693604"
"result","856","1.5781981945037842"
"result","857","1.5782077312469482"
"result","858","1.578223466873169"
"result","859","1.5782277584075928"
"result","860","1.578237771987915"
"result","861","1.5782532691955566"
"result","862","1.5782806873321533"
"result","863","1.5783028602600098"
"result","864","1.5783369541168213"
"result","865","1.5783460140228271"
"result","866","1.5783658027648926"
"result","867","1.5783989429473877"
"result","868","1.5784077644348145"
"result","869","1.5784261226654053"
"result","870","1.5784473419189453"
"result","871","1.5784528255462646"
"result","872","1.578470230102539"
"result","873","1.5785009860992432"
"result","874","1.57850980758667"
"result","875","1.5785293579101562"
"result","876","1.5785582065582275"
"result","877","1.578566551208496"
"result","878","1.5785856246948242"
"result","879","1.5786170959472656"
"result","880","1.5786261558532715"
"result","881","1.5786468982696533"
"result","882","1.5786795616149902"
"result","883","1.578688621520996"
"result","884","1.57871675491333"
"result","885","1.578751564025879"
"result","886","1.5787577629089355"
"result","887","1.578770637512207"
"result","888","1.5787909030914307"
"result","889","1.578796148300171"
"result","890","1.5788075923919678"
"result","891","1.5788249969482422"
"result","892","1.5788295269012451"
"result","893","1.5788400173187256"
"result","894","1.5788564682006836"
"result","895","1.5788609981536865"
"result","896","1.5788710117340088"
"result","897","1.5789463520050049"
"result","898","1.5789568424224854"
"result","899","1.5789787769317627"
"result","900","1.579012393951416"
"result","901","1.5790209770202637"
"result","902","1.5790417194366455"
"result","903","1.5790719985961914"
"result","904","1.5790774822235107"
"result","905","1.5790905952453613"
"result","906","1.5791213512420654"
"result","907","1.5791301727294922"
"result","908","1.5791492462158203"
"result","909","1.5791778564453125"
"result","910","1.579185962677002"
"result","911","1.5792055130004883"
"result","912","1.579237937927246"
"result","913","1.579246997833252"
"result","914","1.5792689323425293"
"result","915","1.5793025493621826"
"result","916","1.5793113708496094"
"result","917","1.579333782196045"
"result","918","1.5793685913085938"
"result","919","1.579376459121704"
"result","920","1.5793907642364502"
"result","921","1.579411268234253"
"result","922","1.579416275024414"
"result","923","1.5794284343719482"
"result","924","1.5794727802276611"
"result","925","1.5794835090637207"
"result","926","1.5795056819915771"
"result","927","1.579540729522705"
"result","928","1.5795495510101318"
"result","929","1.5795698165893555"
"result","930","1.579604148864746"
"result","931","1.5796124935150146"
"result","932","1.5796263217926025"
"result","933","1.5796482563018799"
"result","934","1.5796558856964111"
"result","935","1.5796747207641602"
"result","936","1.5797066688537598"
"result","937","1.5797147750854492"
"result","938","1.5797314643859863"
"result","939","1.5797631740570068"
"result","940","1.5797722339630127"
"result","941","1.5797920227050781"
"result","942","1.579824686050415"
"result","943","1.5798335075378418"
"result","944","1.579852819442749"
"result","945","1.5798850059509277"
"result","946","1.5798935890197754"
"result","947","1.5799150466918945"
"result","948","1.5799477100372314"
"result","949","1.5799541473388672"
"result","950","1.5799667835235596"
"result","951","1.5799856185913086"
"result","952","1.5799903869628906"
"result","953","1.580000638961792"
"result","954","1.5800178050994873"
"result","955","1.5800225734710693"
"result","956","1.5800340175628662"
"result","957","1.5800518989562988"
"result","958","1.5800566673278809"
"result","959","1.5800671577453613"
"result","960","1.5800838470458984"
"result","961","1.5800888538360596"
"result","962","1.5801000595092773"
"result","963","1.5801162719726562"
"result","964","1.5801210403442383"
"result","965","1.5801315307617188"
"result","966","1.5801477432250977"
"result","967","1.5801522731781006"
"result","968","1.5801630020141602"
"result","969","1.5801787376403809"
"result","970","1.580183506011963"
"result","971","1.5801942348480225"
"result","972","1.5802102088928223"
"result","973","1.5802147388458252"
"result","974","1.5802245140075684"
"result","975","1.5802397727966309"
"result","976","1.5802443027496338"
"result","977","1.5802538394927979"
"result","978","1.5802690982818604"
"result","979","1.5802736282348633"
"result","980","1.5802831649780273"
"result","981","1.580298662185669"
"result","982","1.5803029537200928"
"result","983","1.580312967300415"
"result","984","1.580329179763794"
"result","985","1.5803337097167969"
"result","986","1.5803449153900146"
"result","987","1.58038330078125"
"result","988","1.5803937911987305"
"result","989","1.5804164409637451"
"result","990","1.5804517269134521"
"result","991","1.5804603099822998"
"result","992","1.580481767654419"
"result","993","1.580517053604126"
"result","994","1.5805251598358154"
"result","995","1.58054780960083"
"result","996","1.5805823802947998"
"result","997","1.5805909633636475"
"result","998","1.5806090831756592"
"result","999","1.580641746520996"
"result","1000","1.5806503295898438"
"result","1001","1.5806713104248047"
"result","1002","1.580704689025879"
"result","1003","1.5807132720947266"
"result","1004","1.5807347297668457"
"result","1005","1.58076810836792"
"result","1006","1.5807771682739258"
"result","1007","1.5807983875274658"
"result","1008","1.5808262825012207"
"result","1009","1.580831527709961"
"result","1010","1.580843448638916"
"result","1011","1.580862045288086"
"result","1012","1.580866813659668"
"result","1013","1.5808773040771484"
"result","1014","1.5808944702148438"
"result","1015","1.5808992385864258"
"result","1016","1.5809099674224854"
"result","1017","1.5809273719787598"
"result","1018","1.5809321403503418"
"result","1019","1.5809426307678223"
"result","1020","1.5809593200683594"
"result","1021","1.5809640884399414"
"result","1022","1.5809741020202637"
"result","1023","1.5809905529022217"
"result","1024","1.580995798110962"
"result","1025","1.5810060501098633"
"result","1026","1.5810225009918213"
"result","1027","1.5810272693634033"
"result","1028","1.581038475036621"
"result","1029","1.5810706615447998"
"result","1030","1.58107590675354"
"result","1031","1.581087350845337"
"result","1032","1.5811042785644531"
"result","1033","1.581108808517456"
"result","1034","1.5811192989349365"
"result","1035","1.5811355113983154"
"result","1036","1.5811400413513184"
"result","1037","1.5811495780944824"
"result","1038","1.5811655521392822"
"result","1039","1.5811700820922852"
"result","1040","1.5811808109283447"
"result","1041","1.581197738647461"
"result","1042","1.5812022686004639"
"result","1043","1.5812132358551025"
"result","1044","1.5812296867370605"
"result","1045","1.5812344551086426"
